"file","line","col","code","message","owned_by_ux06","runtime_impact","disposition"
"src/components/BookingCard.tsx","10","25","TS2769","No overload matches this call.","no-preexisting","unknown","deferred-next-round"
"src/components/BookingCard.tsx","19","53","TS2339","Property 'tenant_name' does not exist on type 'Booking'.","no-preexisting","unknown","deferred-next-round"
"src/components/BookingCard.tsx","19","73","TS2339","Property 'tenant_name' does not exist on type 'Booking'.","no-preexisting","unknown","deferred-next-round"
"src/components/BookingCard.tsx","27","10","TS2339","Property 'assigned_staff' does not exist on type 'Booking'.","no-preexisting","unknown","deferred-next-round"
"src/components/BookingCard.tsx","30","40","TS2339","Property 'assigned_staff' does not exist on type 'Booking'.","no-preexisting","unknown","deferred-next-round"
"src/components/BookingCard.tsx","33","10","TS2339","Property 'price_snapshot' does not exist on type 'Booking'.","no-preexisting","unknown","deferred-next-round"
"src/components/BookingCard.tsx","35","37","TS2339","Property 'price_snapshot' does not exist on type 'Booking'.","no-preexisting","unknown","deferred-next-round"
"src/navigation/AppNavigator.tsx","60","48","TS2322","Type '({ route, navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''BookService''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/AppNavigator.tsx","62","48","TS2322","Type '({ route, navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''BookingDetail''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/AppNavigator.tsx","64","48","TS2322","Type '({ route }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''JobTracking''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/AppNavigator.tsx","66","43","TS2322","Type '({ route, navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''SmartBot''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/AppNavigator.tsx","68","46","TS2322","Type '({ navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''AIAssistant''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/AppNavigator.tsx","73","48","TS2322","Type '({ route, navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''QuoteApproval''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/AppNavigator.tsx","78","48","TS2322","Type '({ route, navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''Review''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/AppNavigator.tsx","80","48","TS2322","Type '({ route }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''Invoice''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/TabNavigator.tsx","37","35","TS2322","Type '({ navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''Home''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/navigation/TabNavigator.tsx","49","35","TS2322","Type '({ navigation }: Props) => Element' is not assignable to type 'ScreenComponentType<ParamListBase, ''Profile''> | undefined'.","yes-clean","unknown","N/A-no-errors-in-file"
"src/screens/AIAssistantScreen.tsx","8","10","TS2305","Module '''../lib/api''' has no exported member 'aiApi'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIAssistantScreen.tsx","100","14","TS2339","Property 'reply' does not exist on type '{}'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIAssistantScreen.tsx","101","61","TS2339","Property 'reply' does not exist on type '{}'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIAssistantScreen.tsx","107","68","TS2339","Property 'reply' does not exist on type '{}'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIAssistantScreen.tsx","119","25","TS2345","Argument of type '[never, never]' is not assignable to parameter of type 'never'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIChatScreen.tsx","248","11","TS18048","'res.tools_called' is possibly 'undefined'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIChatScreen.tsx","249","26","TS18048","'res.tools_called' is possibly 'undefined'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIChatScreen.tsx","249","43","TS18048","'res.tools_called' is possibly 'undefined'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AIChatScreen.tsx","258","20","TS18048","'res.tools_called' is possibly 'undefined'.","no-preexisting","unknown","deferred-next-round"
"src/screens/AddressBookScreen.tsx","42","32","TS2339","Property 'addresses' does not exist on type '{ items: SavedAddress[]; }'.","no-preexisting","unknown","deferred-next-round"
