method,path,service_class,bound_method,write_expr,audit_expr,external_expr,resolution
DELETE,/v1/chat/messages/{message_id},ChatService,delete_message,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/webhooks/endpoints/{endpoint_id},WebhookService,delete_endpoint,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/geo/zones/{zone_id},GeoService,delete_zone,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/tenant/checklist-templates/{template_id},ChecklistTemplateService,delete_template,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/tenant/checklist-templates/{template_id}/items/{item_id},ChecklistTemplateService,delete_item,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/admin/packages/{package_id}/features/{feature_id},PackageCommerceService,delete_package_feature,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/admin/packages/{package_id}/limits/{limit_id},PackageCommerceService,delete_package_limit,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/notifications/templates/{template_id},NotificationService,delete_template,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/pricing/city-tiers/{config_id},PricingService,delete_city_tier_config,True,False,False,ANNOTATION_OR_MODULE_IMPORT
DELETE,/v1/commerce/packages/{package_id},CommerceService,archive_package,True,False,False,ANNOTATION_OR_MODULE_IMPORT
